# Translation from CC-CEDICT,,,,,
# Creative Commons Attribution-Share Alike 3.0 License ,,,,,
Simplified,Pinyin,Edition,Level,Lesson,English
先生,xiānsheng,1,1,1,/teacher/husband/doctor (topolect)/CL:位[wei4]/
你好,nǐ hǎo,1,1,1,/hello/hi/how are you?/
你,nǐ,1,1,1,/you (informal as opposed to courteous 您[nin2])/
好,hǎo,1,1,1,/to be fond of/
小姐,xiǎojie,1,1,1,/young lady/miss/CL:個|个[ge4]位[wei4]/
请问,qǐng wèn,1,1,1,/Excuse me may I ask...?/
请,qǐng,1,1,1,/to ask/to invite/please (do sth)/to treat (to a meal etc)/to request/
问,wèn,1,1,1,/to ask/
您,nín,1,1,1,/you (courteous as opposed to informal 你[ni3])/
贵姓,guì xìng,1,1,1,/what is your name?/
贵,guì,1,1,1,/expensive/noble/your (name)/precious/
姓,xìng,1,1,1,/family name/surname/name/CL:個|个[ge4]/
我,wǒ,1,1,1,/I/me/my/
呢,ne,1,1,1,/woolen material/
叫,jiào,1,1,1,/to shout/to call/to order/to ask/to be called/by (indicates agent in the passive mood)/
什么,shénme,1,1,1,/what?/who?/something/anything/
名字,míngzi,1,1,1,/name (of a person or thing)/CL:個|个[ge4]/
王朋,wángpéng,1,1,1,
王,wáng,1,1,1,/to rule/to reign over/
李友,lǐyou,1,1,1,
李,lǐ,1,1,1,/plum/
是,shì,1,1,1,/is/are/am/yes/to be/
老师,lǎoshī,1,1,1,/teacher/CL:個|个[ge4]位[wei4]/
吗,ma,1,1,1,/(question tag)/
不,bù,1,1,1,/(negative prefix)/not/no/
学生,xuésheng,1,1,1,/student/school child/
也,yě,1,1,1,/also/too/(in Classical Chinese) final particle implying affirmation/
中国人,zhōngguórén,1,1,1,/Chinese person/
中国,zhōngguó,1,1,1,/China/Middle Kingdom/
人,rén,1,1,1,/man/person/people/CL:個|个[ge4]位[wei4]/
美国人,měiguórén,1,1,1,/American/American person/American people/CL:個|个[ge4]/
美国,měiguó,1,1,1,/United States/USA/US/
那,nà / nèi,1,1,2,/that/those/then (in that case)/commonly pr. [nei4] before a classifier esp. in Beijing/
张,zhāng,1,1,2,/to open up/to spread/sheet of paper/classifier for flat objects sheet/classifier for votes/
照片,zhàopiàn,1,1,2,/photograph/picture/CL:張|张[zhang1]套[tao4]
的,de,1,1,2,/aim/clear/
这,zhè / zhèi,1,1,2,/this/these/(commonly pr. [zhei4] before a classifier esp. in Beijing)/
爸爸,bàba,1,1,2,/(informal) father/CL:個|个[ge4]位[wei4]/
妈妈,māma,1,1,2,/mama/mommy/mother/CL:個|个[ge4]位[wei4]/
个,gè,1,1,2,/individual/this/that/size/classifier for people or objects in general/variant of 個|个[ge4]/
男孩子,nánháizi,1,1,2,/boy/
男,nán,1,1,2,/male/Baron lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/CL:個|个[ge4]/
孩子,háizi,1,1,2,/child/
谁,shéi,1,1,2,/who/also pr. [shui2]/
他,tā,1,1,2,/he or him/(used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/other/another/
弟弟,dìdi,1,1,2,/younger brother/CL:個|个[ge4]位[wei4]/
女孩子,nǚháizi,1,1,2,/girl/
女,nǚ,1,1,2,/archaic variant of 汝[ru3]/
妹妹,mèimei,1,1,2,/younger sister/fig. younger woman (esp. girl friend or rival)/CL:個|个[ge4]/
她,tā,1,1,2,/she/
女儿,nǚ'ér,1,1,2,/daughter/
有,yǒu,1,1,2,/to have/there is/there are/to exist/to be/
儿子,érzi,1,1,2,/son/
没,méi,1,1,2,/drowned/to end/to die/to inundate/
小高,xiǎogāo,1,1,2,
小,xiǎo,1,1,2,/small/tiny/few/young/
高,gāo,1,1,2,/high/tall/above average/loud/your (honorific)/
家,jiā,1,1,2,/home/family/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for specialists in some activity such as musician or revolutionary corresponds to English -ist
几,jǐ,1,1,2,/how much/how many/several/a few/
哥哥,gēge,1,1,2,/older brother/CL:個|个[ge4]位[wei4]/
